Clave,with RSOC,with Local Security,Closed,First response,I.First Response,I.Escalamiento,I.respuesta Sub,,,05:56:00 a. m.,06:30:00 a. m.,,0.02
TPGSOC-1331677,2026-01-04T06:30:43.846-0500,2026-01-04T12:37:24.986-0500,2026-01-14T10:27:09.158-0500,2026-01-04T08:15:10.774-0500,1.74,4.37,242.2,,,,,,
TPGSOC-1331559,2026-01-03T07:00:40.259-0500,2026-01-03T08:40:21.921-0500,2026-01-03T09:14:23.326-0500,2026-01-03T07:01:19.447-0500,0.01,1.65,2.22,,,,,,
TPGSOC-1331531,,,,2026-01-02T12:30:11.511-0500,,,,,,,,,
TPGSOC-1330444,2026-01-01T08:31:30.704-0500,2026-01-01T09:04:50.071-0500,,2026-01-08T14:45:17.496-0500,174.23,-173.67,,,,,,,
TPGSOC-1329967,2025-12-31T14:44:56.932-0500,,2025-12-31T14:56:40.643-0500,2025-12-31T14:55:59.190-0500,0.18,,0.01,,,,,,
TPGSOC-1329925,2025-12-31T14:42:50.519-0500,2025-12-31T14:54:09.900-0500,2026-01-07T09:42:54.464-0500,2025-12-31T14:50:06.174-0500,0.12,0.07,162.88,,,,,,
TPGSOC-1329893,2025-12-31T12:43:54.234-0500,,2025-12-31T12:47:59.586-0500,2025-12-31T12:45:54.641-0500,0.03,,0.03,,,,,,
TPGSOC-1329858,2025-12-31T11:43:30.205-0500,,2025-12-31T12:17:36.120-0500,2025-12-31T12:02:35.827-0500,0.32,,0.25,,,,,,
TPGSOC-1329319,2025-12-31T02:21:22.981-0500,,2026-01-08T14:49:23.835-0500,,,,,,,,,,
TPGSOC-1329200,2025-12-30T19:15:15.375-0500,2025-12-30T22:13:01.968-0500,,2025-12-30T22:12:59.620-0500,2.96,0,,,,,,,
TPGSOC-1329074,2025-12-30T17:43:45.085-0500,,2026-01-08T14:33:54.988-0500,,,,,,,,,,
TPGSOC-1329073,2025-12-30T17:36:23.863-0500,,2026-01-08T14:34:17.845-0500,,,,,,,,,,
TPGSOC-1329072,2025-12-30T17:32:42.538-0500,,2026-01-08T14:34:40.416-0500,,,,,,,,,,
TPGSOC-1328985,2025-12-30T15:26:47.177-0500,,2026-01-08T14:34:51.973-0500,,,,,,,,,,
TPGSOC-1328984,2025-12-30T15:24:17.542-0500,,2026-01-08T14:35:15.131-0500,,,,,,,,,,
TPGSOC-1328983,2025-12-30T15:19:29.209-0500,,2026-01-08T14:35:24.773-0500,,,,,,,,,,
TPGSOC-1328791,2025-12-31T06:10:53.768-0500,2025-12-31T10:38:05.820-0500,,2026-01-08T14:45:23.450-0500,200.57,-196.12,,,,,,,
TPGSOC-1328786,2025-12-30T12:08:38.974-0500,2025-12-30T12:42:06.804-0500,2026-01-07T09:41:37.713-0500,2025-12-30T12:36:42.922-0500,0.47,0.09,189.08,,,,,,
TPGSOC-1328101,2025-12-30T01:30:01.742-0500,,2025-12-30T03:18:03.112-0500,,,,,,,,,,
TPGSOC-1328098,2025-12-30T01:27:50.949-0500,,2025-12-30T03:14:11.709-0500,,,,,,,,,,
TPGSOC-1328094,2025-12-30T01:27:37.326-0500,,2025-12-30T03:14:34.870-0500,,,,,,,,,,
TPGSOC-1328093,2025-12-30T01:27:32.138-0500,2025-12-30T03:12:53.621-0500,2026-01-14T10:24:45.273-0500,2026-01-08T14:45:25.919-0500,229.3,-227.54,139.66,,,,,,
TPGSOC-1328090,2025-12-30T01:27:25.304-0500,,2025-12-30T03:08:44.103-0500,,,,,,,,,,
TPGSOC-1327942,2025-12-29T23:11:29.320-0500,2025-12-29T23:38:34.632-0500,,2025-12-29T23:38:49.604-0500,0.46,0,,,,,,,
TPGSOC-1327867,2025-12-29T22:14:42.818-0500,2025-12-29T23:38:31.337-0500,2025-12-30T00:02:20.521-0500,2025-12-29T23:38:19.698-0500,1.39,0,0.4,,,,,,
TPGSOC-1327864,2025-12-29T22:14:22.684-0500,2025-12-29T23:37:34.834-0500,2025-12-30T00:01:45.554-0500,2025-12-29T23:37:45.279-0500,1.39,0,0.4,,,,,,
TPGSOC-1327810,2025-12-29T21:28:47.742-0500,,2025-12-29T21:45:42.919-0500,2025-12-29T21:42:00.887-0500,0.22,,0.06,,,,,,
TPGSOC-1327668,2025-12-31T04:03:15.646-0500,2025-12-31T10:37:56.064-0500,,2026-01-08T14:45:29.234-0500,202.7,-196.13,,,,,,,
TPGSOC-1327174,2025-12-29T11:21:53.651-0500,2025-12-29T12:12:33.812-0500,,2025-12-29T11:44:19.062-0500,0.37,0.47,,,,,,,
TPGSOC-1327100,2025-12-29T08:49:51.016-0500,2025-12-29T09:34:44.539-0500,,2026-01-08T14:45:33.885-0500,245.93,-245.18,,,,,,,
TPGSOC-1326106,,,,2026-01-08T14:45:35.820-0500,,,,,,,,,
TPGSOC-1324953,2025-12-27T07:43:51.377-0500,2025-12-27T07:53:22.239-0500,2026-01-14T08:57:05.462-0500,2026-01-08T14:45:55.153-0500,295.03,-294.88,138.19,,,,,,
TPGSOC-1324814,2025-12-27T06:05:43.775-0500,2025-12-27T07:36:07.012-0500,2026-01-07T09:44:10.979-0500,2025-12-27T06:12:30.189-0500,0.11,1.39,267.53,,,,,,
TPGSOC-1324520,2025-12-27T18:16:10.281-0500,2025-12-27T18:16:24.018-0500,2025-12-29T22:00:49.669-0500,2025-12-27T18:15:07.512-0500,-0.02,0.02,51.76,,,,,,
TPGSOC-1323444,2025-12-29T07:07:36.908-0500,2025-12-29T08:41:38.437-0500,2025-12-26T19:46:09.269-0500,2026-01-08T14:46:00.968-0500,247.64,-246.07,-307,,,,,,
TPGSOC-1323101,,,2025-12-25T05:37:55.049-0500,2025-12-25T05:36:38.962-0500,,,0.02,,,,,,
TPGSOC-1322647,2025-12-25T05:10:13.323-0500,2025-12-25T08:47:40.232-0500,,2025-12-25T05:11:21.178-0500,0.02,3.61,,,,,,,
TPGSOC-1322516,2025-12-24T23:52:34.913-0500,2025-12-25T08:43:34.656-0500,,2025-12-24T23:53:09.699-0500,0.01,8.84,,,,,,,
TPGSOC-1322095,2025-12-24T10:01:55.308-0500,2025-12-25T16:07:07.303-0500,,2025-12-24T10:26:43.534-0500,0.41,29.67,,,,,,,
TPGSOC-1322058,2025-12-24T08:39:45.751-0500,2025-12-24T12:45:07.416-0500,2026-01-10T10:26:52.151-0500,2025-12-24T10:26:38.397-0500,1.78,2.31,408,,,,,,
TPGSOC-1321940,2025-12-24T08:28:48.251-0500,2025-12-25T14:57:36.937-0500,2026-01-14T10:19:57.227-0500,2025-12-24T08:45:41.846-0500,0.28,30.2,505.57,,,,,,
TPGSOC-1321279,2025-12-24T07:50:56.248-0500,2025-12-24T13:23:51.657-0500,2026-01-14T10:17:10.587-0500,2025-12-24T08:45:33.347-0500,0.91,4.64,505.53,,,,,,
TPGSOC-1321120,2025-12-23T12:43:13.223-0500,,2025-12-24T09:21:28.693-0500,2025-12-23T13:11:30.059-0500,0.47,,20.17,,,,,,
TPGSOC-1321067,2025-12-23T12:17:12.889-0500,2025-12-24T09:24:36.498-0500,2026-01-02T12:13:40.677-0500,2025-12-23T13:11:44.159-0500,0.91,20.21,239.03,,,,,,
TPGSOC-1320900,2025-12-23T10:29:32.200-0500,2025-12-24T12:02:13.141-0500,,2025-12-23T10:31:14.682-0500,0.03,25.52,,,,,,,
TPGSOC-1320490,,,2025-12-23T04:05:00.531-0500,2025-12-23T04:04:34.588-0500,,,0.01,,,,,,
TPGSOC-1320152,2025-12-23T04:12:29.538-0500,,2025-12-23T08:34:54.659-0500,2025-12-23T04:14:36.789-0500,0.04,,4.34,,,,,,
TPGSOC-1320093,2025-12-22T18:10:51.420-0500,2025-12-22T23:06:53.437-0500,2026-01-02T00:19:28.602-0500,2025-12-22T18:11:27.873-0500,0.01,4.92,246.13,,,,,,
